"SRS ID","Body Site","File Location","File MD5","File Size"
"SRS016883","left_retroauricular_crease","http://downloads.hmpdacc.org/data/HM16STR/SRP002860/SRS016883.fsa","f3a770a259b107df8a68c73ba3b1bf32","3093585"
"SRS148995","hard_palate","http://downloads.hmpdacc.org/data/HM16STR/SRP002860/SRS148995.fsa","f7dc7ea5c59767c3fdf39a5e80f3a164","1777766"
"SRS147145","buccal_mucosa","http://downloads.hmpdacc.org/data/HM16STR/SRP002860/SRS147145.fsa","4765dfd1fbfcd165f94034a9773583d6","4696549"
"SRS149208","buccal_mucosa","http://downloads.hmpdacc.org/data/HM16STR/SRP002860/SRS149208.fsa","19019c6be2f54aeda3616f352c4a9c19","4107227"
"SRS078514","buccal_mucosa","http://downloads.hmpdacc.org/data/HM16STR/SRP002860/SRS078514.fsa","75123f7927908783db8dd5f4c3075742","3801697"
"SRS104303","anterior_nares","http://downloads.hmpdacc.org/data/HM16STR/SRP002860/SRS104303.fsa","b2c72af03e4b0b538fc10e46c2fc92e0","3866591"
"SRS105153","stool","http://downloads.hmpdacc.org/data/HM16STR/SRP002860/SRS105153.fsa","94fcdbbce50e2a6a858e3a217165b65b","3778251"
"SRS150185","palatine_tonsils","http://downloads.hmpdacc.org/data/HM16STR/SRP002860/SRS150185.fsa","6d458696e749037bdf3ae85f73fbd69c","2676588"
"SRS104118","palatine_tonsils","http://downloads.hmpdacc.org/data/HM16STR/SRP002860/SRS104118.fsa","8d0ce04bee59131a6585016350883f33","1594297"
"SRS098557","hard_palate","http://downloads.hmpdacc.org/data/HM16STR/SRP002860/SRS098557.fsa","04079311e58021ae2aa0d2f4471c75c5","7961932"
"SRS140853","vaginal_introitus","http://downloads.hmpdacc.org/data/HM16STR/SRP002860/SRS140853.fsa","74408d97cbcaef5a1f5b050efe519be8","4182137"
"SRS102804","anterior_nares","http://downloads.hmpdacc.org/data/HM16STR/SRP002860/SRS102804.fsa","7fe4d3068160c6ab49f58648550c5d8c","1354"
"SRS143553","anterior_nares","http://downloads.hmpdacc.org/data/HM16STR/SRP002860/SRS143553.fsa","2a03e8a1367dd8ac530a003971436f93","14351129"
"SRS144528","left_retroauricular_crease","http://downloads.hmpdacc.org/data/HM16STR/SRP002860/SRS144528.fsa","2a2ace9bf63932fe27a1ab58b2025115","13443779"
"SRS100236","throat","http://downloads.hmpdacc.org/data/HM16STR/SRP002860/SRS100236.fsa","9a0502090a5635c1ea462a2ebbbeb61e","2806071"
"SRS147970","palatine_tonsils","http://downloads.hmpdacc.org/data/HM16STR/SRP002860/SRS147970.fsa","1bedb9787ee21be9618df7b5b332e3c6","5532961"
"SRS143818","stool","http://downloads.hmpdacc.org/data/HM16STR/SRP002860/SRS143818.fsa","28c7d27f8cdfb88db1621058692014ba","3615211"
